	text_a	text_b	labels
449	The couple danced in the church.	A couple slow dances.	3.200
450	A man is patting an alligator on the mouth.	A person is dumping chopped vegetables into a pot on the stove.	0.000
451	A person checks some rice pudding.	A horse is running.	0.000
452	A woman is stirring two eggs in a glass bowl.	A young girl is singing on a stage.	0.000
453	The man is playing the drums.	A man pours cleaner in his sink.	0.000
454	A man is slicing a pepper.	A person cuts a big green pepper apart.	3.800
455	A woman is speaking in sign language.	A woman spices some seafood.	0.643
456	A boy is crawling into a dog house.	A cat is playing on the floor.	0.000
457	The girl flew her kite while she ran up a hill.	A girl loses her kite.	2.250
458	A woman is placing food in a pot of hot water.	A woman is frying meat.	1.250
459	A small monkey walks through water.	A monkey is wading across a marsh.	3.400
460	A man is riding a bike.	A panda bear is eating.	0.000
461	A young man is singing and playing the piano.	The man is writing a letter.	0.200
462	A boy takes off his sunglasses.	A boy is screaming.	0.500
463	A girl is playing a piano.	A boy is doing push ups.	0.000
464	The lady sliced a tomatoe.	Someone is cutting a tomato.	4.000
465	Someone is holding a hedgehog.	A onion is being sliced.	0.000
466	A woman peels a potato.	A woman is grilling pineapples.	1.000
467	A cat is drinking some water.	A truck is going down a hill.	0.000
468	A person is putting salt and pepper on a piece of pork.	A youngster is sitting on a piano.	0.000
469	The man sat in his chair and stared.	The little girl is putting her hair into a pony tail.	0.000
470	A woman is dicing a potato.	A woman cuts tofu into tiny pieces.	1.800
471	A baby is crawling happily.	A baby sneezed and scared another baby.	1.200
472	A person is frying a meat in the pan.	A man is cutting a vegetable.	0.600
473	A man is looking out of a window.	A woman is swimming in the water.	0.250
474	A man seated is playing the guitar.	A man is playing an acoustic guitar and singing into a microphone.	3.250
475	A woman is slicing an onion with a knife.	A man is preparing some dish.	1.250
476	A rider is running and jumping her horse.	A woman jumps hurdles on a horse.	4.000
477	A boy is playing a key-board.	A boy is sitting in a room playing a piano by lamp light.	3.250
478	Two men are fighting.	The man is exercising.	0.750
479	A man is playing a wooden flute while several other men play bongo drums.	A man is playing a flute.	3.250
480	A person is petting a monkey.	A man is holding a slow loris.	1.200
481	Two cartoon rabbits are kissing.	A rabbit is kissing another rabbit.	3.800
482	The hedgehog chewed on the towel.	A hedgehog is biting at a blanket.	3.400
483	A cat is licking himself.	A man is slicing a white onion with a mandolin slicer.	0.000
484	A small guinea pig is gnawing and eating a piece of carrot on the floor.	A Guinea pig eats a carrot.	3.500
485	Four boys are standing in front of the burning car.	Four young men stand still as a car explodes behind them.	3.750
486	A man is smoking.	The man sat in his suit and smoked.	4.000
487	A woman is adding sauce to some food.	A person is cutting leaves.	0.200
488	Three children are eating their food.	The deer jumped over the fence.	0.000
489	A submarine is going through water.	A baby is falling asleep.	0.000
490	A man is running on a street.	A man plays the guitar.	0.800
491	A person is slicing an onion.	A cat is pooping into a toilet.	0.000
492	A badger is digging in the dirt.	A man is moving large rocks.	0.000
493	A woman is slicing big pepper.	A dog is moving its mouth.	0.000
494	A man is riding a bicycle.	A man is riding a bike.	5.000
495	A man and a woman are kissing each other.	A man and a woman are talking to each other.	0.600
496	A woman is slicing an onion.	A woman is cutting an onion.	4.200
497	A small boy is playing with a dog.	A baby is playing with a dog.	3.750
498	The man is drawing.	A man is drawing.	5.000
499	A man is cutting a potato.	A woman is cutting a tomato.	1.250
500	A boy is playing a guitar.	A kid is playing a guitar.	3.600
501	A woman is cutting an onion.	A woman is cutting through an onion.	5.000
502	A toy train is striking a toy car.	A toy train strikes a toy car.	5.000
503	A man is playing the guitar.	A man is playing the flute.	2.200
504	A cat opens a drawer and climbs inside.	A cat is opening a drawer and climbing inside.	5.000
505	A woman is frying a food.	A woman is deep frying food.	4.250
506	A man is dicing an onion.	A woman is cutting an onion.	2.500
507	A girl is playing a guitar.	A man is playing a guitar.	2.800
508	A girl is singing on stage.	A man is singing on stage.	2.800
509	A woman is riding a horse.	A woman is riding a donkey.	2.800
510	A girl is playing a guitar.	A man is playing a guitar.	2.800
511	A woman is brushing some shrimp.	A woman brushes some shrimp.	5.000
512	A man is dancing on the ceiling.	A man is dancing on the ceiling of a room.	4.800
513	A woman thinly slices an onion with a large knife.	A woman is slicing onions with a large knife.	4.200
514	A man is playing a keyboard.	A man plays a keyboard.	5.000
515	A man plays the guitar.	A man is playing the guitar.	5.000
516	A woman is peeling a potato.	A woman peels a potato.	5.000
517	A woman is handling a frog.	A man is holding a frog.	3.750
518	A man is playing a flute.	A man is playing a guitar.	2.000
519	A man is playing a guitar.	A man is playing a flute.	1.583
520	A man is playing a piano.	A man is playing a guitar.	1.778
521	A man is playing a guitar.	A man is playing a piano.	2.000
522	A man is playing a flute.	A man is playing a guitar.	2.000
523	A man is playing a flute.	A man is playing a guitar.	2.000
524	Two women are on a couch.	Two women are hugging on a couch.	3.200
525	Someone is slicing a cucumber.	A man is slicing a cucumber.	3.800
526	A kitten is playing with a blue rope toy.	A kitten is playing with a toy.	4.400
527	The dog is barking at the toy.	A dog is barking at a toy.	5.000
528	A person folds a tortilla.	A man folds a tortilla.	3.500
529	A cat is drinking milk.	A kitten is drinking milk.	4.000
530	A person is driving a car.	A man is driving a car.	3.500
531	A turtle is walking.	A tortoise is walking.	4.400
532	A cow is eating grass.	A cow is eating hay.	3.800
533	A woman is chopping broccoli.	A woman is chopping garlic.	2.600
534	A man is crying.	A man is screaming.	3.000
535	The man is playing the guitar.	A man is playing guitar.	5.000
536	A man is cutting an onion.	A man is cutting a plantain.	3.667
537	A man is slicing a potato.	A woman is peeling a potato.	2.333
538	A woman is tapping her fingers on a table.	A woman is tapping her fingers.	4.000
539	Someone is boiling okra in a pot.	Someone is cooking okra in a pan.	4.400
540	A man is smoking.	A man is mixing.	0.200
541	The man is playing the drums.	A man is playing drums.	5.000
542	A man dives into a pool.	A man is diving into a pool.	5.000
543	A woman is cutting a leak.	A woman is slicing a leek.	4.000
544	A little boy is playing a guitar.	A boy is playing guitar.	4.600
545	A woman is dancing.	The man is dancing.	2.600
546	Women are talking.	The men are talking.	2.600
547	A girl is putting gel in her hair.	A woman is putting gel on her hair.	2.600
548	A kid is playing guitar.	A man is playing a guitar.	2.200
549	A group of people are marching in place.	A group of people are dancing in concert.	1.700
550	The woman is shooting a machine gun.	The man is shooting a gun.	2.000
551	A man played the piano.	A man plays a piano.	4.000
552	A woman is slicing an onion.	Someone is slicing a onion.	3.250
553	A man is slicing a cucumber.	A man is cutting cucumbers.	4.500
554	A girl is eating a cupcake.	A woman is eating a cupcake.	2.600
555	A woman is cutting an onion.	A man is chopping an onion.	2.000
556	The man is playing a guitar.	A baby is playing a guitar.	1.800
557	A man is playing the guitar.	A man is playing the drums.	1.556
558	Two little girls talk on the telephone.	Two girls talk on the phone.	4.500
559	A man is chopping a log with an axe.	A man is chopping a tree trunk with an axe.	4.000
560	A person is cutting a capsicum into pieces.	A person is slicing a garlic into pieces.	1.600
561	A man is talking with a woman.	A woman is walking with a dog.	0.500
562	The man is walking.	A man is talking.	1.400
563	Someone is pouring oil into a skillet.	Someone is pouring milk into a blender.	1.600
564	A small kitten is playing a ball.	A kitten is playing with a ball.	4.400
565	A man is playing a guitar.	A woman is playing a flute.	1.800
566	A girl is playing a violin.	A girl is playing a flute.	2.600
567	A man is playing two pianos.	A cat is playing a piano.	1.600
568	A man is exercising.	A girl is exercising.	3.000
569	A person is slicing a scallop.	A person is slicing octopus.	2.000
570	A man and a woman are riding on their bicycles.	A man and woman are riding a motorcycle.	2.000
571	Two men are fighting in a cow pasture.	Two men are fighting in a cattle pen.	4.000
572	A woman is adding oil to a pan.	A man is pouring oil into a pan.	3.000
573	A girl makes up her bed.	A young girl makes her bed.	4.400
574	The cat played with a watermelon.	A cat is playing with a watermelon.	4.800
575	A girl jumps on a car.	A girl is jumping onto a car.	4.800
576	A man is praying.	A man is running.	0.727
577	A car is parking.	A cat is playing.	0.000
578	A man is running.	A man is dancing.	1.250
579	A man is singing.	A man is dancing.	0.500
580	A man is carrying another man over his shoulder.	A man is carrying someone on his shoulder.	3.250
581	A woman is peeling a potato.	A woman is slicing a tomato.	1.333
582	A woman is cutting a tomato.	A woman is slicing a potato.	1.000
583	Someone is peeling a potato.	Someone is slicing a tomato.	1.400
584	A woman is peeling a potato.	A woman is slicing a tomato.	1.333
585	Two robots kiss.	Two robots are kissing.	5.000
586	Two boys on a couch are playing video games.	Two boys are playing a video game.	4.000
587	A woman is squeezing a lemon.	A woman is squeezing juice out of a lemon.	4.400
588	A woman is slicing an onion.	A man is slicing a tomato.	1.200
589	A woman is slicing a carrot.	A man is slicing a tomato.	1.200
590	A girl is styling her hair.	A girl is filing her nails.	1.250
591	A man walking down the stairs.	A man walks down a staircase.	5.000
592	Two people are riding a motorcycle.	Two people are riding a bike.	2.000
593	A man is playing a guitar.	A woman is playing an electric guitar.	2.200
594	A man is playing a guitar and singing.	A man is playing a guitar.	3.200
595	A man is walking in the rain.	A man and woman is walking in the grand.	1.500
596	A kangaroo is eating.	Kangaroo eating.	4.750
597	A man is fishing.	A man is exercising.	0.500
598	A woman is swimming.	A man is singing.	0.067
599	A Woman is eating.	A animal is eating.	1.600
600	A boy and a girl is dancing in the rain.	A man and woman is dancing in the rain.	2.600
601	A man is driving a car.	A man drives a car.	4.875
602	A woman is grating onion.	A woman grates onions.	5.000
603	Two roosters are fighting.	Two men are fighting.	2.000
604	A man is riding a horse.	A man is driving a car.	1.400
605	A man is riding a horse.	A man is driving a car.	1.400
606	A man is shooting a gun.	A man is slicing a bun.	0.800
607	A woman is cutting an onion.	A woman is cutting meat.	2.000
608	The woman is slicing herbs.	The man is slicing bread.	1.600
609	A boy is playing the piano.	A man is playing a piano.	3.000
610	A baby elephant is eating.	A baby elephant eats a sapling.	3.615
611	A woman is cracking eggs into a bowl.	A woman is cracking eggs.	4.000
612	A person is playing the keyboard.	A boy is playing a key-board.	4.000
